Type,Source,Original,Translation
description,versions-45-/data/all_mob_heads/advancement/collection/hostiles/classics/creaking.json,"['Drops by breaking the Creaking Heart.   ', '10% natural or 0.5% crafted, must be active.']","['藉由打破嘎吱之心而掉落。   ', '10% 天然生成或 0.5% 人工合成，必須是啟用狀態。"
description,versions-45-/data/all_mob_heads/advancement/collection/end/classics/enderman.json,0.01% with Looting I then + 0.1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/hostiles/classics/cave_spider.json,0.1% with Looting I then + 0.1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/hostiles/classics/slime.json,0.1% with Looting I then + 0.1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/hostiles/classics/witch.json,0.1% with Looting I then + 0.1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/hostiles/classics/spider.json,0.1% with Looting I then + 0.1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/nether/blaze.json,0.1% with Looting I then + 0.1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/goats/goat.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/passives/red_mooshroom.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/passives/pig.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/passives/chicken.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/passives/cow.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/passives/brown_mooshroom.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/passives/camel.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/nether/zombified_piglin.json,0.2% with Looting I then + 0.1% per Looting,掠奪 I 為 0.2%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/sea/sea_hostile/guardian.json,0.2% with Looting I then + 0.1% per Looting,掠奪 I 為 0.2%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/nether/magma_cube.json,0.5% with Looting I then + 0.1% per Looting,掠奪 I 為 0.5%，多一級掠奪 + 0.1%
description,versions-45-/data/all_mob_heads/advancement/collection/hostiles/anti_villagers/vindicator.json,0.7% with Looting I then + 1% per Looting,掠奪 I 為 0.7%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/end/classics/shulker.json,0.8% with Looting I then + 1% per Looting,掠奪 I 為 0.8%，多一級掠奪 + 1%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/blue_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/brown_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/yellow_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/lime_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/purple_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/gray_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/light_blue_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/orange_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/pink_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/red_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/green_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/cyan_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/magenta_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
description,versions-45-/data/all_mob_heads/advancement/collection/sheeps/light_gray_sheep.json,1% with Looting I then + 0.2% per Looting,掠奪 I 為 1%，多一級掠奪 + 0.2%
