Type,Source,Original,Translation
title,overlay-89-\data\all_mob_heads\advancement\collection\root.json,Heads Collection,生物頭顱收集
description,overlay-89-\data\all_mob_heads\advancement\collection\root.json,Collect Them All,全部收集
title,overlay-89-\data\all_mob_heads\advancement\collection\sea.json,Sea,海洋
description,overlay-89-\data\all_mob_heads\advancement\collection\sea.json,Sea Mob Heads Collection,海洋生物頭顱系列
title,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus.json,Nautilus,鸚鵡螺
description,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus.json,Nautilus Heads Collection,鸚鵡螺頭顱系列
title,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus\baby_nautilus.json,Baby Nautilus,幼年鸚鵡螺
description,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus\baby_nautilus.json,10% with Looting I then + 10% per Looting,掠奪 I 為 10%，多一級掠奪 + 10%
title,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus\nautilus.json,Nautilus,鸚鵡螺
description,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus\nautilus.json,2% + 1% per looting,掠奪 I 為 2%，多一級掠奪 + 1%
title,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus\zombie_nautilus.json,Zombie Nautilus,殭屍鸚鵡螺
description,overlay-89-\data\all_mob_heads\advancement\collection\sea\nautilus\zombie_nautilus.json,10% + 10% per looting,掠奪 I 為 10%，多一級掠奪 + 10%
minecraft:custom_name,overlay-89-\data\all_mob_heads\loot_table\baby_nautilus.json,Baby Nautilus,幼年鸚鵡螺
minecraft:custom_name,overlay-89-\data\all_mob_heads\loot_table\nautilus.json,Golden Nautilus,黃金鸚鵡螺
minecraft:custom_name,overlay-89-\data\minecraft\loot_table\entities\nautilus.json,Nautilus,鸚鵡螺
minecraft:custom_name,overlay-89-\data\minecraft\loot_table\entities\zombie_nautilus.json,Zombie Nautilus,殭屍鸚鵡螺
